data;lançamento;valor (R$)
01/10/2025;PAY  -ESTAC 01/10;-24,00
01/10/2025;PAY  -IFD C 01/10;-123,99
01/10/2025;PAY  -PDVS  01/10;-10,00
01/10/2025;TBI 4084.23978-1;1.000,00
01/10/2025;DA  VIVO-SP 13066530409;-155,00
01/10/2025;DA  VIVO-SP 13335821725;-43,00
02/10/2025;IOF;-4,50
02/10/2025;PAY  -IFD M 02/10;-101,98
02/10/2025;SEGURO CARTAO;-14,22
03/10/2025;PAY  -RADIA 03/10;-50,40
03/10/2025;COR JSCP FLRY3;26,35
06/10/2025;INT /PM CACAPAV 00005933;-126,19
06/10/2025;PAG BOLETO  STELLANTIS F;-2.976,53
06/10/2025;PAG BOLETO  TERRAS DO VA;-367,13
06/10/2025;PAY  -SHIBA 05/10;-67,24
06/10/2025;PIX QRS EDP SP04/10;-63,56
06/10/2025;PIX QRS NIP TELECOM04/10;-119,99
06/10/2025;PIX QRS PAROQUIA DA04/10;-500,00
06/10/2025;PIX TRANSF  ELISABE04/10;-500,00
06/10/2025;PIX TRANSF  Mariane04/10;-150,00
06/10/2025;PIX TRANSF  Mariane04/10;-1.646,00
06/10/2025;PIX TRANSF  Mariane06/10;-500,00
06/10/2025;PIX TRANSF  Mariane04/10;-2.433,42
06/10/2025;PIX TRANSF  MARIO C04/10;-780,00
06/10/2025;PIX TRANSF  THALITA06/10;-4.181,38
06/10/2025;REMUNERACAO/SALARIO;28.224,55
06/10/2025;SISPAG PIX  RAFAEL SELMI;1.458,53
06/10/2025;SISPAG PIX  RAFAEL SELMI;1.518,00
06/10/2025;PIX TRANSF  LUCIANE06/10;201,00
06/10/2025;PIX TRANSF  MARIA D06/10;1.674,13
07/10/2025;PAGTO FINANC VEIC 03/24;-1.674,13
07/10/2025;REND PAGO APLIC AUT MAIS;0,01
08/10/2025;PAY  -BISCO 08/10;-100,70
09/10/2025;PIX QRS COMUNIDADE 09/10;-160,00
09/10/2025;PIX QRS ISAQUIEL PE09/10;-16,62
09/10/2025;PIX TRANSF  L A GAD09/10;-166,25
10/10/2025;PAY  -YOKOT 10/10;-272,25
10/10/2025;TBI 4084.23978-1;978,83
10/10/2025;SISPAG PIX  RAFAEL SELMI;2.000,00
13/10/2025;PAY  -BASIL 11/10;-54,80
13/10/2025;PAY  -ILHA  11/10;-33,00
13/10/2025;PIX QRS CAIXA INSTA13/10;-66,90
13/10/2025;PIX QRS GIGA MAIS F13/10;-119,99
14/10/2025;PIX QRS CORDOLARIO 14/10;-295,99
14/10/2025;PIX TRANSF  Mariane14/10;-50,00
14/10/2025;REND PAGO APLIC AUT MAIS;0,01
15/10/2025;PERS BLACK  3608-1296;-18.124,67
15/10/2025;NOTA FISCAL PAULISTA;23,89
15/10/2025;REND PAGO APLIC AUT MAIS;0,31
16/10/2025;PAY  -Bacio 16/10;-23,95
16/10/2025;PAY  -DROGA 16/10;-44,91
16/10/2025;PIX TRANSF  AUGUSTO16/10;-3.000,00
16/10/2025;REND PAGO APLIC AUT MAIS;0,01
17/10/2025;PAY  -THE P 17/10;-99,00
17/10/2025;PIX TRANSF  ADRIANA17/10;-100,00
20/10/2025;PAY  -LEITU 18/10;-54,90
20/10/2025;PAY  -PANIF 18/10;-68,50
20/10/2025;PAY  -RAIA1 19/10;-32,12
20/10/2025;PIX QRS PAROQUIA DA18/10;-20,00
20/10/2025;PIX TRANSF  SJC FOT19/10;-41,30
20/10/2025;COR IRRF TD.;-106,92
20/10/2025;COR IRRF TD.;-27,94
20/10/2025;COR TES DIRETO - VENDA;4.380,23
20/10/2025;COR TES DIRETO - VENDA;1.226,47
22/10/2025;PAG BOLETO  ITAU UNIBANC;-1.931,13
22/10/2025;PIX QRS EDUCBANK22/10;-849,18
22/10/2025;PIX QRS EDUCBANK22/10;-849,18
22/10/2025;SISPAG PIX  RAFAEL SELMI;1.000,00
23/10/2025;PAY  -IFD R 23/10;-76,49
27/10/2025;PIX TRANSF  50.902.25/10;-167,50
27/10/2025;SISDEB  ITAUPORTOSEGUR;-240,48
27/10/2025;COR DIVIDENDOS CPFE3;17,35
27/10/2025;REND PAGO APLIC AUT MAIS;0,01
29/10/2025;PAY  -Estac 29/10;-17,10
29/10/2025;PAY  -SODEX 29/10;-27,60
29/10/2025;PIX QRS RD SAUDE29/10;-289,76
29/10/2025;CONTRB PGBL PG2434;-129,39
30/10/2025;PIX QRS RD SAUDE30/10;-288,05
31/10/2025;PAY  -IFD P 31/10;-109,99
31/10/2025;REMUNERACAO/SALARIO;26.227,22
lançamentos futuros;;
saídas futuras;;
04/11/2025;IOF;-11,96
